Source,Target,Type,Text Index
Graphite,Dolphins,RELATED_TO,0
Dolphins,Rare Flowers,COLLECT,0
Graphite,Dark Matter,RELATED_TO,0
Dark Matter,Chicken Parmesan,RELATED_TO,0
Missing Socks,Butterflies,CORRELATES_WITH,0
Butterflies,Harmonica,RELATED_TO,0
Harmonica,Ancient Forests,PRODUCE_SOUND_LIKE,0
Ancient Forests,Forgotten Civilizations,LOCATED_IN,0
Forgotten Civilizations,Quantum Mechanics,UNDERSTAND,0
Quantum Mechanics,Sentient Toasters,APPLIED_TO,0
Sentient Toasters,Shakespearean Sonnets,RECITE,0
Graphite,Extraterrestrial Beings,CONDUCT_THOUGHTS,0
Extraterrestrial Beings,Pastry Baking,COMMUNICATE_THROUGH,0
Pastry Baking,Cosmos,REFLECT,0
Cosmos,Butterfly Wings,PATTERN_FOUND_ON,0
Graphite,Quantum Mechanics,COMPARED_TO,0
Quantum Mechanics,Superposition,INFLUENCES,0
Quantum Mechanics,Entanglement,INFLUENCES,0
Superposition,Croissants,INFLUENCES,0
Entanglement,Croissants,INFLUENCES,0
Croissants,Flaky Pastry Crusts,IS_A,0
Flaky Pastry Crusts,Sonnets Of Shakespeare,HAS_AFFINITY_FOR,0
Sonnets Of Shakespeare,Sonnet 18,INCLUDES,0
Sonnet 18,Beauty,DEALS_WITH,0
Sonnet 18,Mortality,DEALS_WITH,0
Graphitic Carbon,Graphite,IS_A,0
Graphite,Aerodynamic Properties,HAS,0
Aerodynamic Properties,Migratory Birds,INFLUENCES,0
Arctic Tern,Nest Building Materials,USES,0
Nest Building Materials,Graphite,CONTAINS,0
Wind Turbine Blades,Graphite,MADE_FROM,0
John Doe,Graphite,HAS_CONNECTION_TO,0
Postmodern Philosophy,Graphite,EXPLORES,0
Graphite,Human Condition,METAPHOR,0
Graphite,Critics,CHALLENGES,0
Graphite,Practical Applications,HAS,0
Practical Applications,High-Performance Sports Equipment,INCLUDES,0
High-Performance Sports Equipment,Tennis Rackets,INCLUDES,0
High-Performance Sports Equipment,Golf Clubs,INCLUDES,0
High-Performance Sports Equipment,Aerodynamic Properties,HAS,0
Aerodynamic Properties,Graphite Particles,ENHANCED_BY,0
Graphite Particles,Ancient Art,INSPIRED_BY,0
Ancient Art,Japanese Calligraphy,REPRESENTS,0
Japanese Calligraphy,Brushstrokes,EMPLOYS,0
Brushstrokes,Fractal Patterns,EXHIBITS,0
Fractal Patterns,Microstructure Of Graphite,OBSERVED_IN,0
Microstructure Of Graphite,Chaos Theory,CONNECTED_TO,0
Chaos Theory,Graphitic Carbon,APPLIED_TO,0
Graphitic Carbon,Physical Properties,COMPRISES,0
Physical Properties,Abstract Concepts,RELATES_TO,0
Abstract Concepts,Mathematics,ENCOMPASSES,0
Mathematics,Fibonacci Sequence,PROVIDES,0
Fibonacci Sequence,Crystalline Structure,OBSERVED_IN,0
Crystalline Structure,Theory Of Graphitic Carbon,FOUNDATION,0
Theory Of Graphitic Carbon,Physics,INTEGRATES,0
Theory Of Graphitic Carbon,Philosophy,INTEGRATES,0
John Doe,Oliver Twist,LIKES,0
John Doe,Graphite,ASSOCIATED_WITH,0
Photosynthetic Pathways,Quantum Fluctuations,INFLUENCED_BY,1
Quantum Fluctuations,Photons,AFFECTS,1
Photons,Chloroplasts,INTERACTS_WITH,1
Chloroplasts,Carboxylation,PART_OF,1
Chloroplasts,Oxygenation,PART_OF,1
Photosynthetic Pathways,Gastronomical Ontologies,RELATED_TO,1
Photosynthetic Pathways,Floricultural Axioms,RELATED_TO,1
Stomatal Aperture Regulation,Gas Exchange,REGULATES,1
Stomatal Aperture Regulation,Water Conservation,REGULATES,1
Stomatal Aperture Regulation,Plant Life,AFFECTS,1
Photosynthetic Metabolism,Plant Life,IS_PART_OF,1
Photon Irradiance,Chloroplastic Membrane Fluidity,INFLUENCES,1
Chloroplastic Membrane Fluidity,Photosynthetic Phenotypes,DETERMINES,1
Photosynthetic Phenotypes,Environmental Thermodynamics,INTERACTS_WITH,1
Environmental Thermodynamics,Ecophysiological Processes,INFLUENCES,1
Environmental Thermodynamics,Biogeochemical Processes,INFLUENCES,1
Photosynthetic Mechanisms,Paradigmatic Structures,INFLUENCES,1
Pastry Making,Societal Norms Of 19Th Century France,SHAPES,1
Chlorophyll-Based Energy Production,Paradigmatic Structures,IS_INFLUENCED_BY,1
Quokkas,Sentience,POSSESSES,1
Quokkas,Empathy,POSSESSES,1
Wheat,Global Market,IS_TRADED_IN,1
Global Market,Photographic Film,AFFECTS_THE_PRODUCTION_OF,1
Photographic Film,Velociraptor-Shaped Cookies,IS_USED_IN_THE_PRODUCTION_OF,1
Philosophical Underpinnings Of Modern Science,Contradictions,CONTAINS,1
John Doe,Photosynthesis,UNDERSTANDS,1
Photosynthesis,Interdimensional Communication,RELATED_TO,1
Photosynthesis,Parallel Universes,RELATED_TO,1
Photosynthesis,Energy And Matter,INFLUENCES,1
Photosynthesis,Fundamental Laws Of Physics,INFLUENCES,1
Photosynthesis,Predicting Sports Game Outcomes,RELATED_TO,1
Photosynthesis,Harmonica Playing,RELATED_TO,1
Human Lungs,Energy Production,PRODUCES,1
Photosynthetic Organisms,Energy Production,PERFORMS,1
Human Lungs,Harmonicas,INSPIRED,1
Harmonicas,Musical Instruments,INSTANCE,1
Photosynthetic Organisms,Chemical Signals,EMITS,1
Chemical Signals,Ancient Civilizations,INFLUENCED,1
Ancient Civilizations,Metaphorical Language,DEVELOPED,1
Metaphorical Language,Agricultural Practices,ENABLES,1
Multinational Corporations,Marketing Strategies,EMPLOYS,1
Marketing Strategies,Breakfast Cereals,TARGETS,1
Multiantional Corporations,Intuition,RELIES_ON,1
Intuition,Decision-Making Processes,INFLUENCES,1
Migratory Birds,Energy Production,INFLUENCED_BY,1
Migratory Birds,Air Traffic Control Systems,IMPACTS,1
Air Traffic Control Systems,Rogue Waves,AFFECTED_BY,1
Dusk,Secrets,ASSOCIATED_WITH,2
Secrets,Initiated,WHISPERED_TO,2
Initiated,Soul,LISTEN_WITH_THE_EAR_OF,2
Soul,Cosmos,ATTUNED_TO,2
Metals,Ontological Status,PRECIPITATES_A_CRISIS_OF,2
Ontological Status,Representation,PRECIPITATES_A_CRISIS_OF,2
Linguistic Signifiers,Semiotic Excess,CONVERGES_WITH,2
Metallic Artifacts,Materiality,INSTANTIATING,2
Differance,Moment,INSTANTIATING_A,2
Supplement,Origin,COALESCE,2
Aporia,Undecidable,REDOLENT_OF,2
Chiaroscurist Effects,Oeuvre,PERMEATE,2
Oeuvre,Renaissance Painters,BELONG_TO,2
Divine,Luminous Essence,CAPTURE,2
History,Lost,LOST_IN,2
Anamorphic Distortions,Metallic Reflections,INTERSECT_WITH,2
Metallic Reflections,Phantasmagoric Landscapes,INTERSECT_WITH,2
Mythopoeic Imagination,Oneiric Narratives,CONVERGE_WITH,2
Oneiric Narratives,Tessellations,CONVERGE_WITH,2
Tessellations,Crystal Structures,TESSELLATIONS_OF,2
Crystal Structures,Epiphany,INSTANTIATING_A,2
Epiphany,Insight,INSTANTIATING_A,2
Insight,Numinous,CONVERGE_WITH,2
Numinous,Mundane,CONVERGE_WITH,2
Synthesis,Transcendent,SYNTHESIS_OF,2
Synthesis,Immanent,SYNTHESIS_OF,2
John Doe,Metal Music,INFLUENCES,2
Metal Music,Metallurgy,RELATED_TO,2
Metallurgy,Space - Time,AFFECTS,2
Space - Time,Universe,IS_PART_OF,2
Realm Of Metal Biology,Metal Ions,FOCUSES_ON,2
Realm Of Metal Biology,Biological Systems,INVESTIGATES,2
Metalloproteins,Protein Structures,COMPOSED_OF,2
Metalloproteins,Chemical Reactions,CATALYZES,2
Metalloproteins,Cellular Membranes,FACILITATES_TRANSPORT_OF,2
Metal Ions,Life,ESSENTIAL_FOR,2
Interactions,Boundaries,INVOLVES,2
Interactions,Living Systems,INVOLVES,2
Interactions,Non - Living Systems,INVOLVES,2
Interactions,Understanding,LEADS_TO,2
Metals,Human Experience,INFLUENCES,2
Copper,Calm,INDUCES,2
Copper,Tranquility,INDUCES,2
Iron,Strength,ASSOCIATED_WITH,2
Titanium,Resilience,ASSOCIATED_WITH,2
Metal,Human,INTERACTS_WITH,2
Ai - Driven Personalization,Online Education Platforms,TRANSFORMS,3
Ai - Driven Personalization,Machine Learning Algorithms,UTILIZES,3
Machine Learning Algorithms,Student Behavior,ANALYZES,3
Machine Learning Algorithms,Learning Patterns,ANALYZES,3
Machine Learning Algorithms,Knowledge Gaps,ANALYZES,3
Machine Learning Algorithms,Unique Learning Pathway,CREATES,3
Ai - Driven Personalization,Ai - Generated Dreamscape,INCORPORATE,3
Ai - Generated Dreamscape,Subconscious Thoughts,UTILIZES,3
Ai - Generated Dreamscape,Desires,UTILIZES,3
Ai - Generated Dreamscape,Immersive Learning Environment,CREATES,3
Immersive Learning Environment,Student Engagement,INCREASE,3
Immersive Learning Environment,Learning Outcomes,IMPROVE,3
Ai - Driven Personalization,Traditional Educational Paradigms,CONTRAST,3
Onlineeducation Platforms,Students,PROVIDESSERVICE,3
Onlineeducation Platforms,Personalized Learning Pathways,CONTAINS,3
Onlineeducation Platforms,Adaptive Assessments,CONTAINS,3
Onlineeducation Platforms,Real - Time Feedback,CONTAINS,3
Personalized Learning Pathways,Student Motivation,INCREASES,3
Adaptive Assessments,Academic Performance,IMPROVES,3
Real - Time Feedback,Overall Learning Outcomes,ENHANCES,3
Ai - Driven Personalization,Student Procrastination,REDUCES,3
Ai - Driven Personalization,Time Management Skills,IMPROVES,3
Ai - Driven Personalization,Student Burnout,IDENTIFIES,3
Ai - Driven Personalization,Disillusionment,IDENTIFIES,3
Educators,Student Burnout,PROVIDESSUPPORT,3
Gamification,Immersive Learning Experiences,CREATES,3
Virtual Reality,Immersive Learning Experiences,CREATES,3
Immersive Learning Experiences,Student Engagement,INCREASES,3
Virtual Classrooms,Immersive Learning Experiences,IS_AN_EXAMPLE_OF,3
Interactive Simulations,Immersive Learning Experiences,IS_AN_EXAMPLE_OF,3
Virtual Field Trips,Immersive Learning Experiences,IS_AN_EXAMPLE_OF,3
Simulated Laboratory Environment,Students,LOCATED_IN,3
Students,Experiments,CONDUCTS,3
Students,Investigations,CONDUCTS,3
Gamification Platform,Competitive Learning Environment,CREATES,3
Gamification Platform,Rewards,PROVIDES,3
Gamification Platform,Badges,PROVIDES,3
Gamification Platform,Coursework,OFFERS,3
Gamification Platform,Learning Milestones,TRACKS,3
Ai - Driven Personalization,Online Education,USED_IN,3
Ai - Driven Personalization,Learning Addiction,POTENTIAL_CAUSE,3
Ai - Driven Personalization,Filter Bubble Effect,POTENTIAL_CAUSE,3
Online Education,Information,PROVIDES,3
Online Education,Perspectives,OFFERS,3
Filter Bubble Effect,Beliefs,REINFORCES,3
Filter Bubble Effect,Biases,REINFORCES,3
Online Learning Platforms,Colors,USES,3
Online Learning Platforms,Fonts,USES,3
Ai - Driven Personalization,Online Education Platform,USED_IN,3
Online Education Platform,Learning Experience,PROVIDES,3
Ai - Driven Personalization,Learning Experience,INFLUENCES,3
Learning Experience,Motivation,INFLUENCES,3
Learning Experience,Engagement,INFLUENCES,3
Background Music,Mood,INFLUENCES,3
Sound Effects,Emotional State,INFLUENCES,3
Ai - Driven Personalization,Knowledge Gaps,ADDRESSES,3
Clickstream Data,Knowledge Gaps,INDICATES,3
Assessment Scores,Knowledge Gaps,INDICATES,3
Ai - Driven Personalization,Learning Outcomes,INFLUENCES,3
Learning Outcomes,Student Success,LEADS_TO,3
Personalized Learning Pathways,Adaptive Learning Systems,LEADS_TO,3
Adaptive Learning Systems,Real - Time Feedback,HAS_FEATURE,3
Adaptive Learning Systems,Customized Learning Recommendations,HAS_FEATURE,3
Unconventional Methods,Brain Waves,USES,3
Unconventional Methods,Heart Rates,USES,3
Unconventional Methods,Emotional States,ANALYZES,3
Unconventional Methods,Cognitive Loads,ANALYZES,3
Unconventional Methods,Affective Computing - Based Systems,LEADS_TO,3
Affective Computing - Based Systems,Personalized Interventions,HAS_FEATURE,3
Affective Computing - Based Systems,Electroencephalography ( Eeg ) Signals,USES,3
Affective Computing - Based Systems,Cognitive Overload,DETECTS,3
Artificial Intelligence,Personalized Learningcontent,GENERATES,3
Personalized Learningcontent,Hobbies,BASED_ON,3
Personalized Learningcontent,Interests,BASED_ON,3
Personalized Learningcontent,Math Problems,INCLUDES,3
Personalized Learningcontent,Trajectory Of A Soccer Ball,INCLUDES,3
Personalized Learningcontent,Optimal Strategy For A Soccer Game,INCLUDES,3
Personalized Learningcontent,Student Engagement,INCREASES,3
Personalized Learningcontent,Student Motivation,INCREASES,3
Personalized Learningcontent,Traditional Learning Materials,ALTERNATIVE_TO,3
Virtual Reality ( Vr ),Personalized Learningcontent,USED_IN,3
Virtual Reality,Immersive Learning Experiences,USED_FOR,3
Augmented Reality,Immersive Learning Experiences,USED_FOR,3
Immersive Learning Experiences,Real-World Scenarios,ENCOMPASSES,3
Virtual Reality-Based Systems,Laboratory Experiments,SIMULATE,3
Virtual Reality-Based Systems,Students,USED_BY,3
Augmented Reality-Based Systems,Students,USED_BY,3
Augmented Reality-Based Systems,Interactive 3D Models,PROVIDES,3
Augmented Reality-Based Systems,Simulations,PROVIDES,3
Interactive 3D Models,Complex Concepts,VISUALIZES,3
Simulations,Complex Concepts,VISUALIZES,3
Simulations,Phenomena,VISUALIZES,3
Ai-Driven Personalization,Education,USED_IN,3
Ai-Driven Personalization,Historical Data,RELIES_ON,3
Historical Data,Predictions,USED_FOR,3
Predictions,Student Performance,INFLUENCES,3
Ai-Driven Personalization,Biases,CAN_EXACERBATE,3
Ai-Driven Personalization,Inequalities,CAN_EXACERBATE,3
Ai Systems,Transparency,REQUIRES,3
Ai Systems,Accountability,REQUIRES,3
Ai Systems,Decision-Making,INVOLVED_IN,3
Lstm Neural Networks,Dancers,USED_IN,4
Dancers,Virtual Flamenco Guru,INTERACT_WITH,4
Dancers,Gesture Sensing Garments,WEAR,4
Flamenco,Augmented Reality (Ar),COMBINED_WITH,4
Augmented Reality,Coordinated Dance Rituals,ENHANCES,4
Coordinated Dance Rituals,Group Cohesion,INVOLVES,4
Group Cohesion,Dancers,IS_MEASURED_IN,4
Machine Learning Algorithms,Gestures,ANALYZES,4
Machine Learning Algorithms,Movements,ANALYZES,4
Long Short-Term Memory (Lstm) Networks,Machine Learning Algorithms,IS_A_TYPE_OF,4
Lstm-Based Gesture Forecasting,Gesture Capture,USED_FOR,4
Gesture Capture,Performance Evaluation,PART_OF,4
Performance Evaluation,Training And Rehearsal,INFLUENCES,4
Ar,Audience Engagement,ENHANCES,4
Ar,Immersive Experience,CREATES,4
Lstm-Based Gesture Forecasting,Coordinated Dance Rituals,APPLIED_TO,4
Coordinated Dance Rituals,Dance Groups,INVOLVES,4
Lstm-Based Gesture Forecasting,High-Quality Training Data,REQUIRES,4
Lstm-Based Gesture Forecasting,Sensors And Data Collection,UTILIZES,4
Coordinated Dance Rituals,Cohesion,RELATES_TO,4
Coordinated Dance Rituals,Effectiveness,RELATES_TO,4
Lstm - Based Gesture Forecasting,Successful Coordinated Dance Performances,CONTRIBUTES_TO,4
Chicken Entrails,Successful Coordinated Dance Performances,CONTRIBUTES_TO,4
Tea Leaves,Successful Coordinated Dance Performances,CONTRIBUTES_TO,4
Lstm - Based Gesture Forecasting,Dancers ’ Ability To Communicate With Eachother Through Subtle Cues And Gestures,ENHANCES,4
Lstm - Based Gesture Forecasting,Cohesive And Effective Performance,CONTRIBUTES_TO,4
Lstm - Based Gesture Forecasting,Artistic Expression,ENHANCES,4
Ar,Dancers ’ Perception Of Their Own Bodies And Movements,ALTERS,4
Ar,Awareness,INCREASES,4
Ar,Control,INCREASES,4
Coordinated Dance Rituals,Group Cohesion,RELATED,4
Coordinated Dance Rituals,Collective Consciousness,RELATED,4
Coordinated Dance Rituals,Nonverbal Communication,RELATED,4
Coordinated Dance Rituals,Group Dynamics,RELATED,4
Coordinated Dance Rituals,Group Performances,RELATED,4
Group Performances,Human Interaction,RELATED,4
Group Performances,Human Cooperation,RELATED,4
Ar,Technology,RELATED,4
Lstm - Based Gesture Forecasting,Technology,RELATED,4
Ar,Art,RELATED,4
Lstm - Based Gesture Forecasting,Art,RELATED,4
Ar,Creative Expression,RELATED,4
Lstm - Based Gesture Forecasting,Creative Expression,RELATED,4
Ar,Dance,RELATED,4
Lstm - Based Gesture Forecasting,Dance,RELATED,4
Ar,Performance Art,RELATED,4
Lstm - Based Gesture Forecasting,Performance Art,RELATED,4
Group Performance,Dance Groups,IS_A_TYPE_OF,4
Dance Groups,Cohesion,AIMS_TO_IMPROVE,4
Dance Groups,Effectiveness,AIMS_TO_IMPROVE,4
Augmented Reality (Ar),Immersive Technologies,IS_A_TYPE_OF,4
Lstm - Based Gesture Forecasting,Gesture Recognition Systems,IS_A_TYPE_OF,4
Lstm - Based Gesture Forecasting,Predictive Modeling Techniques,IS_A_TYPE_OF,4
Augmented Reality (Ar),Synchronized Flamenco Dance,USED_IN,4
Feedback Loops,Collective Rhythm,PROMOTES,4
Mlb,Mlb-Youtube,OWNS,5
Mlb-Youtube,Computer Vision,USEDFOR,5
