Source,Target,Type,Text Index
Skies,Dusk,LOCATED_AT,0
Dusk,Secrets,ASSOCIATED_WITH,0
Secrets,Initiated,REVEALED_TO,0
Initiated,Ear Of The Soul,ATTUNED_TO,0
Ear Of The Soul,Cosmos,LISTENS_TO,0
Metals,Ontological Status,HAS_STATUS,0
Ontological Status,Crisis Of Representation,CAUSES,0
Crisis Of Representation,Semeiotic Excess,DUE_TO,0
Semeiotic Excess,Linguistic Signifiers,COMPRISED_OF,0
Linguistic Signifiers,Metallic Artifacts,DESCRIBES,0
Metallic Artifacts,Moment Of Differance,INSTANTIATES,0
Moment Of Differance,Supplement,COMBINES,0
Supplement,Origin,CONVERGES_WITH,0
Origin,Aporia,RESULTS_IN,0
Aporia,Chiaroscurist Effects,REMINDS_OF,0
Chiaroscurist Effects,Oeuvre,CHARACTERISTICS_OF,0
Oeuvre,Renaissance Painters,CREATED_BY,0
Renaissance Painters,Divine,SEEKS_TO_CAPTURE,0
Divine,History,LOST_IN,0
Anamorphic Distortions,Metallic Reflections,CHARACTERISTICS_OF,0
Metallic Reflections,Phantasmagoric Landscapes,INTERSECT_WITH,0
Phantasmagoric Landscapes,Subconscious,RESIDE_IN,0
Oneiric Narratives,Mythopoeic Imagination,PART_OF,0
Mythopoeic Imagination,Tessellations,INFLUENCED_BY,0
Tessellations,Crystal Structures,REPRESENT,0
Crystal Structures,Moment Of Epiphanic Insight,INSTANTIATING,0
Moment Of Epiphanic Insight,Numinous,BRIDGES,0
Numinous,Mundane,MERGES_WITH,0
Ineffable Synthesis,Transcendent,COMPOSED_OF,0
Transcendent,Immanent,MERGES_WITH,0
Flour Viscosity,Optimum Metal Alloy,DETERMINES,0
Optimum Metal Alloy,Baking Sheet Liners,USED_IN,0
Baking Sheet Liners,Gastronomical Experience,INFLUENCES,0
Gastronomical Experience,Intricately Designed Croissants,ENHANCES,0
Intricately Designed Croissants,Labyrinthine Patterns,RESEMBLES,0
Labyrinthine Patterns,Molecular Structure,COMPARABLE_TO,0
Molecular Structure,Copper ( Ii ) Oxide,COMPONENT_OF,0
Copper ( Ii ) Oxide,Quantum Floristry,STUDIED_IN,0
Quantum Floristry,Correlation,INVESTIGATES,0
Correlation,Floral Patterns,BETWEEN,0
Correlation,Metal Crystalline Structures,AND,0
Metal Crystalline Structures,Metallurgical Horticulture,INFLUENCED_BY,0
Metal Music,Morphological Characteristics,INFLUENCES,0
Morphological Characteristics,Metal Alloys,OF,0
Metal Alloys,Guitar Amplifiers,MADE_OF,0
Guitar Amplifiers,Sonic Resonance,PRODUCES,0
Sonic Resonance,Paradigmatic Shift,CAUSES,0
Paradigmatic Shift,Crystal Lattice Structure,IN,0
Metal Music,Metallurgy,RELATED_TO,0
Metallurgy,Space - Time,RELATED_TO,0
Space - Time,Metallic Resonance,RELATED_TO,0
Metallic Resonance,Universe,RELATED_TO,0
Metallurgy,Postmodern Philosophical Discourse,RELATED_TO,0
Postmodern Philosophical Discourse,Metal - Lurgical Being,RELATED_TO,0
Metal - Lurgical Being,Metal Identity,RELATED_TO,0
Alchemical Processes,Base Metals,RELATED_TO,0
Alchemical Processes,Noble Counterparts,RELATED_TO,0
Metallurgical Transhumanism,Human And Metal Consciousness,RELATED_TO,0
